source_city,target_city,month,edge_weight
Beijing,Singapore,202204,1
Beijing,Singapore,202205,1
Beijing,Singapore,202207,1
Beijing,Singapore,202208,1
Beijing,Singapore,202209,1
Beijing,Singapore,202210,1
Beijing,Singapore,202211,1
Beijing,Singapore,202212,1
Beijing,Singapore,202301,1
Beijing,Singapore,202302,1
Beijing,Singapore,202303,1
Beijing,Singapore,202304,1
Beijing,Singapore,202305,1
Beijing,Singapore,202306,1
Beijing,Singapore,202307,1
Beijing,Singapore,202308,1
Beijing,Singapore,202309,1
Beijing,Singapore,202310,1
Beijing,Singapore,202311,1
Beijing,Singapore,202312,1
Beijing,Singapore,202401,1
Beijing,Singapore,202402,1
Beijing,Singapore,202403,1
Beijing,Singapore,202404,1
Beijing,Singapore,202405,1
Beijing,Singapore,202406,1
Beijing,Singapore,202407,1
Beijing,Singapore,202408,1
Beijing,Singapore,202409,1
Beijing,Singapore,202410,1
Beijing,Singapore,202411,1
Beijing,Singapore,202412,1
Beijing,Singapore,202501,1
Beijing,Singapore,202502,1
Beijing,Singapore,202503,1
Beijing,Singapore,202504,1
Beijing,Singapore,202505,1
Beijing,Singapore,202506,1
Beijing,Singapore,202507,1
Beijing,Singapore,202508,1
Beijing,Singapore,202509,1
Beijing,Singapore,202510,1
Beijing,Singapore,202511,1
Beijing,Singapore,202512,1
Beijing,Tokyo,202201,1
Beijing,Tokyo,202202,1
Beijing,Tokyo,202203,1
Beijing,Tokyo,202204,1
Beijing,Tokyo,202205,1
Beijing,Tokyo,202206,1
Beijing,Tokyo,202207,1
Beijing,Tokyo,202208,1
Beijing,Tokyo,202209,1
Beijing,Tokyo,202210,1
Beijing,Tokyo,202211,1
Beijing,Tokyo,202212,1
Beijing,Tokyo,202301,1
Beijing,Tokyo,202302,1
Beijing,Tokyo,202303,1
Beijing,Tokyo,202304,1
Beijing,Tokyo,202305,1
Beijing,Tokyo,202306,1
Beijing,Tokyo,202307,1
Beijing,Tokyo,202308,1
Beijing,Tokyo,202309,1
Beijing,Tokyo,202310,1
Beijing,Tokyo,202311,1
Beijing,Tokyo,202312,1
Beijing,Tokyo,202401,1
Beijing,Tokyo,202402,1
Beijing,Tokyo,202403,1
Beijing,Tokyo,202404,1
Beijing,Tokyo,202405,1
Beijing,Tokyo,202406,1
Beijing,Tokyo,202407,1
Beijing,Tokyo,202408,1
Beijing,Tokyo,202409,1
Beijing,Tokyo,202410,1
Beijing,Tokyo,202411,1
Beijing,Tokyo,202412,1
Beijing,Tokyo,202501,1
Beijing,Tokyo,202502,1
Beijing,Tokyo,202503,1
Beijing,Tokyo,202504,1
Beijing,Tokyo,202505,1
Beijing,Tokyo,202506,1
Beijing,Tokyo,202507,1
Beijing,Tokyo,202508,1
Beijing,Tokyo,202512,1
Guangzhou,Hong Kong,202201,1
Guangzhou,Hong Kong,202202,1
Guangzhou,Hong Kong,202205,1
Guangzhou,Hong Kong,202206,1
Guangzhou,Hong Kong,202207,1
Guangzhou,Hong Kong,202208,1
Guangzhou,Hong Kong,202209,1
Guangzhou,Hong Kong,202210,1
Guangzhou,Hong Kong,202211,1
Guangzhou,Hong Kong,202212,1
Guangzhou,Hong Kong,202302,1
Guangzhou,Hong Kong,202303,1
Guangzhou,Hong Kong,202305,1
Guangzhou,Hong Kong,202306,1
Guangzhou,Hong Kong,202308,1
Guangzhou,Hong Kong,202310,1
Guangzhou,Hong Kong,202311,1
Guangzhou,Hong Kong,202312,1
Guangzhou,Hong Kong,202401,1
Guangzhou,Hong Kong,202403,1
Guangzhou,Hong Kong,202404,1
Guangzhou,Hong Kong,202405,1
Guangzhou,Hong Kong,202406,1
Guangzhou,Hong Kong,202407,1
Guangzhou,Hong Kong,202410,1
Guangzhou,Hong Kong,202501,1
Guangzhou,Hong Kong,202503,1
Guangzhou,Hong Kong,202504,1
Guangzhou,Hong Kong,202506,1
Guangzhou,Hong Kong,202509,1
Guangzhou,Hong Kong,202512,1
Guangzhou,Hsinchu,202205,1
Guangzhou,Hsinchu,202304,1
Guangzhou,Hsinchu,202305,1
Guangzhou,Hsinchu,202312,1
Guangzhou,Hsinchu,202411,1
Guangzhou,Hsinchu,202505,1
Guangzhou,Lyon,202202,1
Guangzhou,Lyon,202205,1
Guangzhou,Lyon,202206,1
Guangzhou,Lyon,202209,1
Guangzhou,Lyon,202210,1
Guangzhou,Lyon,202303,1
Guangzhou,Lyon,202306,1
Guangzhou,Shanghai,202201,1
Guangzhou,Shanghai,202202,1
Guangzhou,Shanghai,202204,1
Guangzhou,Shanghai,202205,1
Guangzhou,Shanghai,202206,1
Guangzhou,Shanghai,202207,1
Guangzhou,Shanghai,202208,1
Guangzhou,Shanghai,202209,1
Guangzhou,Shanghai,202210,1
Guangzhou,Shanghai,202211,1
Guangzhou,Shanghai,202212,1
Guangzhou,Shanghai,202302,1
Guangzhou,Shanghai,202303,1
Guangzhou,Shanghai,202304,1
Guangzhou,Shanghai,202305,1
Guangzhou,Shanghai,202306,1
Guangzhou,Shanghai,202307,1
Guangzhou,Shanghai,202308,1
Guangzhou,Shanghai,202310,1
Guangzhou,Shanghai,202311,1
Guangzhou,Shanghai,202312,1
Guangzhou,Shanghai,202401,1
Guangzhou,Shanghai,202402,1
Guangzhou,Shanghai,202403,1
Guangzhou,Shanghai,202404,1
Guangzhou,Shanghai,202405,1
Guangzhou,Shanghai,202406,1
Guangzhou,Shanghai,202407,1
Guangzhou,Shanghai,202409,1
Guangzhou,Shanghai,202410,1
Guangzhou,Shanghai,202411,1
Guangzhou,Shanghai,202501,1
Guangzhou,Shanghai,202502,1
Guangzhou,Shanghai,202503,1
Guangzhou,Shanghai,202504,1
Guangzhou,Shanghai,202505,1
Guangzhou,Shanghai,202506,1
Guangzhou,Shanghai,202508,1
Guangzhou,Shanghai,202509,1
Guangzhou,Shanghai,202510,1
Guangzhou,Shanghai,202512,1
Guangzhou,Singapore,202201,1
Guangzhou,Singapore,202202,1
Guangzhou,Singapore,202204,1
Guangzhou,Singapore,202205,1
Guangzhou,Singapore,202207,1
Guangzhou,Singapore,202208,1
Guangzhou,Singapore,202209,1
Guangzhou,Singapore,202210,1
Guangzhou,Singapore,202302,1
Guangzhou,Singapore,202303,1
Guangzhou,Singapore,202304,1
Guangzhou,Singapore,202305,1
Guangzhou,Singapore,202306,1
Guangzhou,Singapore,202307,1
Guangzhou,Singapore,202308,1
Guangzhou,Singapore,202310,1
Guangzhou,Singapore,202312,1
Guangzhou,Singapore,202401,1
Guangzhou,Singapore,202402,1
Guangzhou,Singapore,202403,1
Guangzhou,Singapore,202405,1
Guangzhou,Singapore,202406,1
