city,country,lat,lon,entity_count,origination_count,origination_rate,adoption_count,adoption_rate,avg_lag,median_lag,collaboration_count,weighted_degree,betweenness,eigenvector_centrality,population_million,gdp_per_capita,education_tertiary_pct,internet_users_pct,rd_expenditure_pct,research_capacity,timezone_utc,region,origination_rate_pop,adoption_rate_pop,collaboration_rate_pop,lag_std,avg_lag_nonorig,cross_region_ratio_calc,pop_top25_share,orig_top25_share,lag_quality_corr,avg_fork_star_ratio,iei_std,iei_quality_corr,avg_iei,cluster,role
Calgary,Canada,51.0447,-114.0719,33,5.0,0.1515151515151515,48,1.4545454545454546,10.02,7.5,587.0,587,0.0100300612846018,0.013573585354511,1.6,52080,75.0,93.0,1.69,0,-7.5,North America,3.12,30.0,366.88,9.639214197983666,11.186046511627907,0.6490630323679727,0.5625,0.1243988457839051,0.3455793494109638,0.2311876861201817,3.095817191644895,-0.3445555173424972,2.4444444444444446,3.0,Adopter
Perth,Australia,-31.9505,115.8605,33,0.0,0.0,57,1.7272727272727273,14.53,13.0,1002.0,1002,0.0028302628390897,0.0219795959013776,2.1,63530,113.0,96.0,1.68,0,7.5,Oceania,0.0,27.14,477.14,11.665127001877211,14.526315789473683,0.9640718562874252,0.6491228070175439,0.2487976915678102,0.1257913113451956,0.1414209554093409,7.228103147653758,-0.2179623297425455,3.3137254901960786,0.0,Dormant
Daejeon,South Korea,36.3504,127.3845,33,9.0,0.2727272727272727,32,0.9696969696969696,6.59,4.0,198.0,198,0.0468803859348569,0.0047606722425988,1.5,32255,98.0,97.6,4.93,1,8.5,East Asia,6.0,21.33,132.0,8.446642299105145,9.173913043478262,0.7121212121212122,0.375,0.2317134612742179,0.3657031972121355,0.1453087357333139,6.741249472052228,-0.0212070321925337,5.684210526315789,0.0,Dormant
Salt Lake City,United States,40.7608,-111.891,32,1.0,0.03125,45,1.40625,10.67,8.0,684.0,684,0.0029878839155256,0.0153266839298996,1.3,76330,88.2,92.0,3.46,0,-7.5,North America,0.77,34.62,526.15,10.31547822008708,10.909090909090908,0.6418128654970761,0.7333333333333333,0.2073314096398418,0.1448553301964087,0.3241568194471022,3.9844113025847374,-0.4576283192090639,2.6842105263157894,3.0,Adopter
Geneva,Switzerland,46.2044,6.1432,32,5.0,0.15625,41,1.28125,5.34,3.0,518.0,518,0.0050747821883161,0.0121358032388923,0.64,91930,63.0,96.0,3.37,1,0.5,Europe,7.81,64.06,809.38,6.973556324062928,6.083333333333333,0.7123552123552124,0.6341463414634146,0.1243988457839051,0.014715103141329,0.1765137745909102,4.287971490972062,-0.8201894461619057,2.5357142857142856,3.0,Adopter
Bristol,United Kingdom,51.4545,-2.5879,32,2.0,0.0625,36,1.125,8.72,5.5,559.0,559,0.0147015476013991,0.0126951948229901,0.47,46125,62.0,95.0,2.9,0,0.0,Europe,4.26,76.6,1189.36,9.93294981682139,9.235294117647058,0.6905187835420393,0.5277777777777778,0.1777126368341501,0.2377139257803915,0.20660453359161,4.446653491416581,-0.2666536403333013,4.03125,0.0,Dormant
Heidelberg,Germany,49.3988,8.6724,30,1.0,0.0333333333333333,38,1.2666666666666666,13.26,12.5,528.0,528,0.0061511476572753,0.0118721746800297,0.16,51380,72.0,93.0,3.13,0,0.5,Europe,6.25,237.5,3300.0,10.90916849836626,13.62162162162162,0.7121212121212122,0.6052631578947368,0.2073314096398418,0.2090964096704174,0.1682433708046396,6.5054311863730385,-0.2062073617400041,5.9714285714285715,0.0,Dormant
Edmonton,Canada,53.5461,-113.4938,28,4.0,0.1428571428571428,39,1.3928571428571428,10.15,5.0,540.0,540,0.0088717891416496,0.0121810364641791,1.1,52080,75.0,93.0,1.69,0,-7.5,North America,3.64,35.45,490.91,11.382207864489445,11.314285714285717,0.6296296296296297,0.717948717948718,0.2493320508710056,0.2390148793640105,0.1835873292871774,3.4120441753508195,-0.2503220021726635,2.3548387096774195,3.0,Adopter
Kuala Lumpur,Malaysia,3.139,101.6869,26,2.0,0.0769230769230769,58,2.230769230769231,10.88,9.5,679.0,679,0.0146998175506329,0.0161046506206075,8.0,12570,43.0,97.0,1.04,1,7.0,Southeast Asia,0.25,7.25,84.88,8.398156828288137,11.267857142857142,0.9705449189985272,0.6724137931034483,0.320569779691293,0.2713101006594338,0.1308056077911205,5.5104246546172675,-0.2805166073771447,3.7142857142857144,0.0,Dormant
Lima,Peru,-12.0464,-77.0428,25,2.0,0.08,36,1.44,10.14,8.0,620.0,620,0.0032090950059632,0.0134770087213472,10.9,7050,70.0,71.0,0.13,0,-5.0,Latin America,0.18,3.3,56.88,9.375203701490674,10.735294117647058,0.9758064516129032,0.6388888888888888,0.1777126368341501,0.3025459959271669,0.1989050766500298,1.4187682072158412,-0.1688667731624035,1.2,1.0,Connector
Dalian,China,38.914,121.6147,24,2.0,0.0833333333333333,37,1.5416666666666667,10.19,6.0,310.0,310,0.0258511908817494,0.0078304901624966,7.5,12720,60.0,73.0,2.55,0,8.0,East Asia,0.27,4.93,41.33,12.064267343960289,10.771428571428572,0.5580645161290323,0.7297297297297297,0.1777126368341501,0.1353152871184078,0.1496697665004314,3.133064307355179,0.047942654547878,2.6333333333333333,0.0,Dormant
