author,entity_type,raw_location,source,status,fetched_at
Kwaipilot,unknown,,unmatched,skipped,
LDJnr,organization,"Toronto, Canada",manual,manual,
LEE0204,unknown,,unmatched,skipped,
LEMAS-Project,unknown,,unmatched,skipped,
LGAI-EXAONE,unknown,,unmatched,skipped,
LLM-LAT,unknown,,unmatched,skipped,
LLM-Tuning-Safety,unknown,,unmatched,skipped,
LLM360,unknown,,unmatched,skipped,
LLM4SCIENCE,unknown,,unmatched,skipped,
LLMDH,unknown,,unmatched,skipped,
LLMhacker,unknown,,unmatched,skipped,
LTP,unknown,,unmatched,skipped,
LWDCLS,unknown,,unmatched,skipped,
LaaP-ai,unknown,,unmatched,skipped,
LabHC,unknown,,unmatched,skipped,
Laimaimai,unknown,,unmatched,skipped,
Lajavaness,unknown,,unmatched,skipped,
LangQuant,unknown,,unmatched,skipped,
Langboat,unknown,,unmatched,skipped,
LanguageBind,unknown,,unmatched,skipped,
LargeWorldModel,unknown,,unmatched,skipped,
Lasorco,unknown,,unmatched,skipped,
LatitudeGames,unknown,,unmatched,skipped,
Laxhar,unknown,,unmatched,skipped,
LazarusNLP,unknown,,unmatched,skipped,
LeeSangHoon,unknown,,unmatched,skipped,
Leilab,unknown,,unmatched,skipped,
LejuRobotics,unknown,,unmatched,skipped,
Leo97,unknown,,unmatched,skipped,
Leooyii,unknown,,unmatched,skipped,
Lewdiculous,unknown,,unmatched,skipped,
Leying,unknown,,unmatched,skipped,
LiAutoAD,unknown,,unmatched,skipped,
LiberiOnTerra,unknown,,unmatched,skipped,
LibrAI,unknown,,unmatched,skipped,
Lightricks,organization,"Jerusalem, Israel",cached_github,ok,
LiheYoung,unknown,,unmatched,skipped,
Limour,unknown,,unmatched,skipped,
Lin-Chen,unknown,,unmatched,skipped,
LinWeizheDragon,unknown,,unmatched,skipped,
Linaqruf,organization,"Jakarta, Indonesia",manual,manual,
LinkSoul,unknown,,unmatched,skipped,
Linq-AI-Research,unknown,,unmatched,skipped,
LiquidAI,organization,"Boston, MA, USA",manual,manual,
Lk123,unknown,,unmatched,skipped,
LnL-AI,unknown,,unmatched,skipped,
LocalDoc,unknown,,unmatched,skipped,
Lockout,unknown,,unmatched,skipped,
Locutusque,unknown,,unmatched,skipped,
Logics-MLLM,unknown,,unmatched,skipped,
LoliRimuru,unknown,,unmatched,skipped,
LoneStriker,unknown,,unmatched,skipped,
LongSafari,unknown,,unmatched,skipped,
LooksJuicy,unknown,,unmatched,skipped,
Loren,unknown,,unmatched,skipped,
Lucetepolis,unknown,,unmatched,skipped,
Luckybalabala,unknown,,unmatched,skipped,
LuigiQuartulli,unknown,,unmatched,skipped,
LukB4UJump,unknown,,unmatched,skipped,
LukeJacob2023,unknown,,unmatched,skipped,
LumiOpen,unknown,,unmatched,skipped,
LumosRobotics-FastUMIPro,unknown,,unmatched,skipped,
Luyu,unknown,,unmatched,skipped,
LxzGordon,unknown,,unmatched,skipped,
Lykon,unknown,,unmatched,skipped,
LykosAI,organization,United States of America,cached_github,ok,
LyliaEngine,unknown,,unmatched,skipped,
M-CLIP,unknown,,unmatched,skipped,
M-FAC,unknown,,unmatched,skipped,
M4-ai,unknown,,unmatched,skipped,
MAPS-research,unknown,,unmatched,skipped,
MAmmoTH-VL,unknown,,unmatched,skipped,
MBZUAI,organization,"Abu Dhabi, UAE",manual,manual,
MBZUAI-LLM,unknown,,unmatched,skipped,
MBZUAI-Paris,unknown,,unmatched,skipped,
MCG-NJU,organization,Nanjing,cached_github,ok,
MILVLG,unknown,,unmatched,skipped,
MIT,organization,"Boston, MA, USA",manual,manual,
MLCommons,unknown,,unmatched,skipped,
MLP-KTLim,unknown,,unmatched,skipped,
MLVU,unknown,,unmatched,skipped,
MLbackup,unknown,,unmatched,skipped,
MMG,unknown,,unmatched,skipped,
MMInstruction,unknown,,unmatched,skipped,
MMMU,unknown,,unmatched,skipped,
MMMem-org,unknown,,unmatched,skipped,
MTSAIR,unknown,,unmatched,skipped,
Macropodus,unknown,,unmatched,skipped,
Magpie-Align,unknown,,unmatched,skipped,
Mahiruoshi,unknown,,unmatched,skipped,
MahmoodLab,organization,"Boston, MA",cached_github,ok,
MahmoudAshraf,unknown,,unmatched,skipped,
Maincode,unknown,,unmatched,skipped,
Major-TOM,unknown,,unmatched,skipped,
Malikeh1375,unknown,,unmatched,skipped,
Manmay,unknown,,unmatched,skipped,
Manojb,unknown,,unmatched,skipped,
MarcoM003,unknown,,unmatched,skipped,
MarcusLoren,unknown,,unmatched,skipped,
MarinaraSpaghetti,unknown,,unmatched,skipped,
MarketaJu,unknown,,unmatched,skipped,
MarkrAI,unknown,,unmatched,skipped,
Marqo,unknown,,unmatched,skipped,
Marvis-AI,unknown,,unmatched,skipped,
Marxav,unknown,,unmatched,skipped,
MathLLMs,unknown,,unmatched,skipped,
Matthijs,unknown,,unmatched,skipped,
MattyB95,unknown,,unmatched,skipped,
