author,entity_type,raw_location,source,status,fetched_at
ShadoWxShinigamI,unknown,,unmatched,skipped,
ShahriarFerdoush,unknown,,unmatched,skipped,
Shakker-Labs,unknown,,unmatched,skipped,
Sharathhebbar24,unknown,,unmatched,skipped,
ShareGPT4Video,unknown,,unmatched,skipped,
ShareGPTVideo,unknown,,unmatched,skipped,
ShenLab,unknown,,unmatched,skipped,
Shitao,unknown,,unmatched,skipped,
ShoukanLabs,unknown,,unmatched,skipped,
Shreshth13,unknown,,unmatched,skipped,
Shuang59,unknown,,unmatched,skipped,
SicariusSicariiStuff,unknown,,unmatched,skipped,
SimianLuo,unknown,,unmatched,skipped,
Simonlee711,user,California,cached_github,ok,
SimpleStories,unknown,,unmatched,skipped,
SimulaMet,unknown,,unmatched,skipped,
Singh8898,unknown,,unmatched,skipped,
SkalskiP,user,127.0.0.1,cached_github,ok,
SkunkworksAI,unknown,,unmatched,skipped,
Skylion007,user,"Sunnyvale, CA",cached_github,ok,
SkynetM1,unknown,,unmatched,skipped,
Skywork,organization,"Beijing, China",manual,manual,
SmallDoge,unknown,,unmatched,skipped,
SmilingWolf,unknown,,unmatched,skipped,
Snarcy,unknown,,unmatched,skipped,
Snowflake,organization,"San Francisco, CA, USA",manual,manual,
SnypzZz,unknown,,unmatched,skipped,
SofieSchn,unknown,,unmatched,skipped,
Soul-AILab,unknown,,unmatched,skipped,
SpanBERT,unknown,,unmatched,skipped,
SparkAudio,unknown,,unmatched,skipped,
SpatialVID,unknown,,unmatched,skipped,
SpideyDLK,unknown,,unmatched,skipped,
SporkySporkness,unknown,,unmatched,skipped,
Squish42,unknown,,unmatched,skipped,
SriSanthM,unknown,,unmatched,skipped,
StableDiffusionVN,unknown,,unmatched,skipped,
StanfordAIMI,unknown,,unmatched,skipped,
StarJiaxing,unknown,,unmatched,skipped,
StarVLA,unknown,,unmatched,skipped,
SteelStorage,unknown,,unmatched,skipped,
Steelskull,unknown,,unmatched,skipped,
StephanAkkerman,unknown,,unmatched,skipped,
Stern5497,unknown,,unmatched,skipped,
SteveDigital,unknown,,unmatched,skipped,
SteveTran,unknown,,unmatched,skipped,
Styxxxx,unknown,,unmatched,skipped,
Supabase,organization,United States of America,cached_github,ok,
Supertone,unknown,,unmatched,skipped,
SweetLuna,unknown,,unmatched,skipped,
SylvanL,unknown,,unmatched,skipped,
SynthLabsAI,unknown,,unmatched,skipped,
Synthyra,unknown,,unmatched,skipped,
Systran,unknown,,unmatched,skipped,
SzymonOzog,user,Poland,cached_github,ok,
T-Systems-onsite,unknown,,unmatched,skipped,
T5B,unknown,,unmatched,skipped,
TAUR-Lab,unknown,,unmatched,skipped,
TEN-framework,unknown,,unmatched,skipped,
THU-KEG,organization,"Tsinghua University, Beijing, China",cached_github,ok,
TIGER-Lab,unknown,,unmatched,skipped,
TRI-ML,unknown,,unmatched,skipped,
TTS-AGI,unknown,,unmatched,skipped,
TURKCELL,unknown,,unmatched,skipped,
TabArena,unknown,,unmatched,skipped,
TabbyML,unknown,,unmatched,skipped,
TahaDouaji,unknown,,unmatched,skipped,
TakoData,unknown,,unmatched,skipped,
TalTechNLP,unknown,,unmatched,skipped,
Tap-M,unknown,,unmatched,skipped,
TaylorAI,unknown,,unmatched,skipped,
Team-ACE,unknown,,unmatched,skipped,
TechWolf,unknown,,unmatched,skipped,
TechxGenus,unknown,,unmatched,skipped,
TeichAI,unknown,,unmatched,skipped,
Tele-AI,unknown,,unmatched,skipped,
TempoFunk,unknown,,unmatched,skipped,
Tencent-Hunyuan,unknown,,unmatched,skipped,
TencentARC,unknown,,unmatched,skipped,
TencentBAC,unknown,,unmatched,skipped,
TencentGameMate,unknown,,unmatched,skipped,
Tengyunw,unknown,,unmatched,skipped,
Tesslate,unknown,,unmatched,skipped,
Tevatron,unknown,,unmatched,skipped,
ThaiLLM-Leaderboard,unknown,,unmatched,skipped,
TheBloke,organization,"London, UK",manual,manual,
TheDrummer,unknown,,unmatched,skipped,
TheFusion21,user,Berlin,cached_github,ok,
TheLastBen,unknown,,unmatched,skipped,
TheMistoAI,organization,China,cached_github,ok,
Thi-Thu-Huong,unknown,,unmatched,skipped,
ThomasBaruzier,unknown,,unmatched,skipped,
Thunderbolt215215,unknown,,unmatched,skipped,
TianyunYoung,unknown,,unmatched,skipped,
Tiiny,unknown,,unmatched,skipped,
TildeAI,unknown,,unmatched,skipped,
TimKond,unknown,,unmatched,skipped,
TinyLlama,unknown,,unmatched,skipped,
TinyPixel,unknown,,unmatched,skipped,
TitanML,unknown,,unmatched,skipped,
TokenBender,unknown,,unmatched,skipped,
TomatenMarc,unknown,,unmatched,skipped,
TommyChien,unknown,,unmatched,skipped,
TomoroAI,unknown,,unmatched,skipped,
Tongyi-MAI,unknown,,unmatched,skipped,
Tongyi-Zhiwen,organization,China,cached_github,ok,
Tonic,unknown,,unmatched,skipped,
Tower-Babel,unknown,,unmatched,skipped,
Trelis,unknown,,unmatched,skipped,
Trendyol,unknown,,unmatched,skipped,
TriadParty,unknown,,unmatched,skipped,
TrustSafeAI,unknown,,unmatched,skipped,
TryStar,unknown,,unmatched,skipped,
TsinghuaC3I,organization,China,cached_github,ok,
Ttimofeyka,unknown,,unmatched,skipped,
Tungtom2004,unknown,,unmatched,skipped,
Turalalyv,unknown,,unmatched,skipped,
TuringEnterprises,unknown,,unmatched,skipped,
TurkuNLP,unknown,,unmatched,skipped,
Twitter,unknown,,unmatched,skipped,
UBC-NLP,unknown,,unmatched,skipped,
UCLA-AGI,unknown,,unmatched,skipped,
UCSC-VLAA,unknown,,unmatched,skipped,
UCSD26,unknown,,unmatched,skipped,
UFNLP,unknown,,unmatched,skipped,
UMCU,unknown,,unmatched,skipped,
UNIVA-Bllossom,unknown,,unmatched,skipped,
USC-PSI-Lab,unknown,,unmatched,skipped,
Ultralytics,organization,United States of America,cached_github,ok,
UmeAiRT,unknown,,unmatched,skipped,
Uminosachi,unknown,,unmatched,skipped,
Unbabel,unknown,,unmatched,skipped,
Undi95,unknown,,unmatched,skipped,
UnfilteredAI,unknown,,unmatched,skipped,
UnicomLLM,unknown,,unmatched,skipped,
Universal-NER,unknown,,unmatched,skipped,
UrbanSyn,unknown,,unmatched,skipped,
UrukHan,unknown,,unmatched,skipped,
UsefulSensors,unknown,,unmatched,skipped,
VAGOsolutions,organization,"Munich, Germany",manual,manual,
VIDraft,unknown,,unmatched,skipped,
VITA-MLLM,unknown,,unmatched,skipped,
VLM2Vec,unknown,,unmatched,skipped,
VTSNLP,unknown,,unmatched,skipped,
Valdemardi,unknown,,unmatched,skipped,
ValiantLabs,unknown,,unmatched,skipped,
ValkyriaLenneth,unknown,,unmatched,skipped,
ValueFX9507,unknown,,unmatched,skipped,
Vamsi,unknown,,unmatched,skipped,
Vchitect,unknown,,unmatched,skipped,
Vezora,unknown,,unmatched,skipped,
VideoCrafter,unknown,,unmatched,skipped,
Viet-Mistral,unknown,,unmatched,skipped,
VietAI,organization,"Hanoi, Vietnam",manual,manual,
Vikhrmodels,unknown,,unmatched,skipped,
Virtue-AI-HUB,unknown,,unmatched,skipped,
VishalMysore,unknown,,unmatched,skipped,
Vision-CAIR,unknown,,unmatched,skipped,
Visual-Attention-Network,unknown,,unmatched,skipped,
VlSav,unknown,,unmatched,skipped,
VoVanPhuc,unknown,,unmatched,skipped,
VoiceCloning-be,unknown,,unmatched,skipped,
Voicelab,unknown,,unmatched,skipped,
Vokturz,user,"Dublin, Ireland",cached_github,ok,
Voxel51,organization,"Ann Arbor, MI",cached_github,ok,
Vsukiyaki,unknown,,unmatched,skipped,
WNT3D,unknown,,unmatched,skipped,
Wan-AI,unknown,,unmatched,skipped,
WanyueZhang,unknown,,unmatched,skipped,
WarriorMama777,unknown,,unmatched,skipped,
Warvito,unknown,,unmatched,skipped,
WebOrganizer,unknown,,unmatched,skipped,
WeiChow,unknown,,unmatched,skipped,
WeiboAI,unknown,,unmatched,skipped,
Wenetspeech4TTS,unknown,,unmatched,skipped,
WenhaoWang,unknown,,unmatched,skipped,
Weyaxi,user,"İstanbul, Turkey",cached_github,ok,
WhereIsAI,unknown,,unmatched,skipped,
WhiteRabbitNeo,unknown,,unmatched,skipped,
Wikidepia,unknown,,unmatched,skipped,
WildVision,unknown,,unmatched,skipped,
WinKawaks,unknown,,unmatched,skipped,
WindyLab,user,"Hangzhou, China",cached_github,ok,
WisdomShell,unknown,,unmatched,skipped,
WizardLMTeam,organization,"Beijing, China",manual,manual,
Writer,unknown,,unmatched,skipped,
Wuli-art,unknown,,unmatched,skipped,
X-Humanoid,unknown,,unmatched,skipped,
X779,unknown,,unmatched,skipped,
XDUImageLab,unknown,,unmatched,skipped,
XLabs-AI,unknown,,unmatched,skipped,
XXXXyu,user,"Beijing, China",cached_github,ok,
Xanthius,unknown,,unmatched,skipped,
Xenova,unknown,,unmatched,skipped,
Xhaheen,unknown,,unmatched,skipped,
XiaomiMiMo,unknown,,unmatched,skipped,
Xkev,unknown,,unmatched,skipped,
Xpitfire,user,"Linz, Austria",cached_github,ok,
Xuhui,unknown,,unmatched,skipped,
Xwin-LM,unknown,,unmatched,skipped,
YSU,unknown,,unmatched,skipped,
YannQi,user,China,cached_github,ok,
YaoJiefu,unknown,,unmatched,skipped,
YarvixPA,unknown,,unmatched,skipped,
YatharthS,unknown,,unmatched,skipped,
Yehor,unknown,,unmatched,skipped,
Yellow-AI-NLP,unknown,,unmatched,skipped,
Yelp,unknown,,unmatched,skipped,
YeungNLP,unknown,,unmatched,skipped,
YiYiXu,unknown,,unmatched,skipped,
YiboZhang2001,unknown,,unmatched,skipped,
YirongSun,unknown,,unmatched,skipped,
YituTech,unknown,,unmatched,skipped,
Yiwen-ntu,unknown,,unmatched,skipped,
Yntec,unknown,,unmatched,skipped,
YoMioAI,unknown,,unmatched,skipped,
YorkieOH10,unknown,,unmatched,skipped,
Yuanshi,unknown,,unmatched,skipped,
Yukang,unknown,,unmatched,skipped,
YupengZhou,unknown,,unmatched,skipped,
ZB-Tech,unknown,,unmatched,skipped,
ZJU-AI4H,unknown,,unmatched,skipped,
ZenMoore,user,"Haidian District, Beijing",cached_github,ok,
ZhenYe234,user,Hong Kong,cached_github,ok,
ZhengPeng7,unknown,,unmatched,skipped,
Zhengyi,unknown,,unmatched,skipped,
ZixiQi,unknown,,unmatched,skipped,
ZuluVision,unknown,,unmatched,skipped,
Zuntan,unknown,,unmatched,skipped,
ZySec-AI,unknown,,unmatched,skipped,
Zyphra,unknown,,unmatched,skipped,
a-ghorbani,user,Germany,cached_github,ok,
a-m-team,unknown,,unmatched,skipped,
a2015003713,unknown,,unmatched,skipped,
a3xrfgb,unknown,,unmatched,skipped,
aaditya,unknown,,unmatched,skipped,
aadnk,unknown,,unmatched,skipped,
aaraki,unknown,,unmatched,skipped,
aari1995,unknown,,unmatched,skipped,
aaronfeller,unknown,,unmatched,skipped,
ab-ai,unknown,,unmatched,skipped,
abacaj,unknown,,unmatched,skipped,
abacusai,organization,"San Francisco, CA",cached_github,ok,
abaryan,unknown,,unmatched,skipped,
abdulmatinomotoso,unknown,,unmatched,skipped,
abdur197,unknown,,unmatched,skipped,
abeja,unknown,,unmatched,skipped,
abhigoyal,unknown,,unmatched,skipped,
abhilash88,unknown,,unmatched,skipped,
abhinand,unknown,,unmatched,skipped,
abhishekchohan,unknown,,unmatched,skipped,
abhishtagatya,unknown,,unmatched,skipped,
abidlabs,unknown,,unmatched,skipped,
abisee,unknown,,unmatched,skipped,
abyildirim,unknown,,unmatched,skipped,
ac0hik,unknown,,unmatched,skipped,
activeDap,unknown,,unmatched,skipped,
adamo1139,unknown,,unmatched,skipped,
adept,unknown,,unmatched,skipped,
adirik,unknown,,unmatched,skipped,
admruul,unknown,,unmatched,skipped,
adyen,unknown,,unmatched,skipped,
af1tang,unknown,,unmatched,skipped,
agarkovv,unknown,,unmatched,skipped,
agentica-org,unknown,,unmatched,skipped,
agentlans,unknown,,unmatched,skipped,
agents-course,unknown,,unmatched,skipped,
agibot-world,unknown,,unmatched,skipped,
agicommies,unknown,,unmatched,skipped,
agkphysics,unknown,,unmatched,skipped,
agufsamudra,unknown,,unmatched,skipped,
aharley,unknown,,unmatched,skipped,
ahczhg,unknown,,unmatched,skipped,
ahmed-masry,unknown,,unmatched,skipped,
ahmedrachid,unknown,,unmatched,skipped,
ahotrod,unknown,,unmatched,skipped,
ahxt,unknown,,unmatched,skipped,
ai-forever,organization,Armenia,cached_github,ok,
ai-hyz,unknown,,unmatched,skipped,
ai-safety-institute,unknown,,unmatched,skipped,
ai-sage,unknown,,unmatched,skipped,
ai21labs,organization,"Tel Aviv, Israel",manual,manual,
ai4bharat,organization,India,cached_github,ok,
ai4privacy,unknown,,unmatched,skipped,
aiXcoder,unknown,,unmatched,skipped,
aidenjhwu,unknown,,unmatched,skipped,
aieng-lab,unknown,,unmatched,skipped,
aifeifei798,unknown,,unmatched,skipped,
ailsntua,unknown,,unmatched,skipped,
aipicasso,unknown,,unmatched,skipped,
aiqcamp,unknown,,unmatched,skipped,
airesearch,unknown,,unmatched,skipped,
airkingbd,unknown,,unmatched,skipped,
airtrain-ai,unknown,,unmatched,skipped,
aisingapore,unknown,,unmatched,skipped,
aismlv,unknown,,unmatched,skipped,
aixonlab,unknown,,unmatched,skipped,
ajibawa-2023,unknown,,unmatched,skipped,
akashmaggon,unknown,,unmatched,skipped,
akdeniz27,unknown,,unmatched,skipped,
akhaliq,unknown,,unmatched,skipped,
akhooli,unknown,,unmatched,skipped,
akjindal53244,unknown,,unmatched,skipped,
akoksal,unknown,,unmatched,skipped,
akoumpa,user,"Santa Clara, CA",cached_github,ok,
akreal,unknown,,unmatched,skipped,
albert,unknown,,unmatched,skipped,
albertvillanova,user,Paris (France),cached_github,ok,
alecccdd,unknown,,unmatched,skipped,
alefiury,unknown,,unmatched,skipped,
aleksa-codes,unknown,,unmatched,skipped,
alephpi,user,Paris,cached_github,ok,
ales,unknown,,unmatched,skipped,
alespalla,unknown,,unmatched,skipped,
alessiodevoto,user,"Rome, Italy",cached_github,ok,
alexandrainst,unknown,,unmatched,skipped,
alexfabbri,unknown,,unmatched,skipped,
ali-vilab,unknown,,unmatched,skipped,
aliabid94,unknown,,unmatched,skipped,
alibaba-damo,unknown,,unmatched,skipped,
alibaba-pai,unknown,,unmatched,skipped,
alibayram,unknown,,unmatched,skipped,
alimama-creative,unknown,,unmatched,skipped,
alirezamsh,unknown,,unmatched,skipped,
alitourani,unknown,,unmatched,skipped,
alkzar90,unknown,,unmatched,skipped,
allegro,unknown,,unmatched,skipped,
allenai,organization,"Seattle, WA, USA",manual,manual,
allganize,unknown,,unmatched,skipped,
allura-forge,unknown,,unmatched,skipped,
almanach,unknown,,unmatched,skipped,
alpindale,unknown,,unmatched,skipped,
alsgyu,unknown,,unmatched,skipped,
altomek,unknown,,unmatched,skipped,
alunadiderot,unknown,,unmatched,skipped,
alvanlii,unknown,,unmatched,skipped,
alvaroalon2,unknown,,unmatched,skipped,
alvarobartt,user,Spain,cached_github,ok,
alvdansen,unknown,,unmatched,skipped,
amaye15,unknown,,unmatched,skipped,
amazingvince,unknown,,unmatched,skipped,
amazon,organization,"Seattle, WA, USA",manual,manual,
amberoad,unknown,,unmatched,skipped,
amd,unknown,,unmatched,skipped,
amd-quark,unknown,,unmatched,skipped,
ameerazam08,user,bangalore,cached_github,ok,
amoghsgopadi,unknown,,unmatched,skipped,
amphion,unknown,,unmatched,skipped,
amphora,unknown,,unmatched,skipped,
amrul-hzz,unknown,,unmatched,skipped,
amunchet,unknown,,unmatched,skipped,
anakin87,user,Italy,cached_github,ok,
andrewcanis,unknown,,unmatched,skipped,
andrewtim-mats,unknown,,unmatched,skipped,
anferico,user,Italy,cached_github,ok,
animelover,unknown,,unmatched,skipped,
anon8231489123,unknown,,unmatched,skipped,
answerdotai,organization,"San Francisco, CA, USA",manual,manual,
antalvdb,unknown,,unmatched,skipped,
anthracite-org,unknown,,unmatched,skipped,
antoinelouis,unknown,,unmatched,skipped,
anton-l,user,"Paris, France",cached_github,ok,
antony66,unknown,,unmatched,skipped,
anuashok,unknown,,unmatched,skipped,
anuragshas,unknown,,unmatched,skipped,
anycoderapps,unknown,,unmatched,skipped,
anzorq,unknown,,unmatched,skipped,
aoi-ot,unknown,,unmatched,skipped,
aoxo,unknown,,unmatched,skipped,
apple,organization,"San Francisco, CA, USA",manual,manual,
aps,unknown,,unmatched,skipped,
arampacha,unknown,,unmatched,skipped,
arbml,unknown,,unmatched,skipped,
arcee-ai,unknown,,unmatched,skipped,
arcinstitute,organization,United States of America,cached_github,ok,
arcticlatent,unknown,,unmatched,skipped,
arekborucki,unknown,,unmatched,skipped,
argilla,organization,"Madrid, Spain",manual,manual,
argilla-warehouse,unknown,,unmatched,skipped,
argmaxinc,organization,"San Francisco, CA, USA",manual,manual,
ariG23498,user,"Kolkata,WestBengal",cached_github,ok,
arijitx,unknown,,unmatched,skipped,
armageddon,unknown,,unmatched,skipped,
armanc,unknown,,unmatched,skipped,
arnir0,unknown,,unmatched,skipped,
arpanghoshal,unknown,,unmatched,skipped,
artefactory,unknown,,unmatched,skipped,
artificialguybr,unknown,,unmatched,skipped,
arxiv-community,unknown,,unmatched,skipped,
asafaya,unknown,,unmatched,skipped,
asahi417,user,"London, UK",cached_github,ok,
ashen0209,unknown,,unmatched,skipped,
ashiq24,unknown,,unmatched,skipped,
asi992h,unknown,,unmatched,skipped,
asigalov61,user,Los Angeles,cached_github,ok,
aspire,unknown,,unmatched,skipped,
athirdpath,unknown,,unmatched,skipped,
aubmindlab,unknown,,unmatched,skipped,
audeering,organization,"Gilching, Germany",cached_github,ok,
augmxnt,unknown,,unmatched,skipped,
ausboss,unknown,,unmatched,skipped,
autoevaluate,unknown,,unmatched,skipped,
autogluon,unknown,,unmatched,skipped,
automerger,unknown,,unmatched,skipped,
autopilot-ai,unknown,,unmatched,skipped,
autoweeb,unknown,,unmatched,skipped,
avans06,unknown,,unmatched,skipped,
avemio,unknown,,unmatched,skipped,
avery00,unknown,,unmatched,skipped,
avsolatorio,unknown,,unmatched,skipped,
awacke1,unknown,,unmatched,skipped,
aws-prototyping,unknown,,unmatched,skipped,
awsaf49,unknown,,unmatched,skipped,
axolotl-ai-co,unknown,,unmatched,skipped,
ayameRushia,unknown,,unmatched,skipped,
aymurai,unknown,,unmatched,skipped,
aynetdia,unknown,,unmatched,skipped,
azavras,unknown,,unmatched,skipped,
b-mc2,unknown,,unmatched,skipped,
b3x0m,unknown,,unmatched,skipped,
babelbit-ai,unknown,,unmatched,skipped,
baffo32,unknown,,unmatched,skipped,
bai-roleplay,unknown,,unmatched,skipped,
baichuan-inc,organization,"Beijing, China",manual,manual,
baidu,organization,"Beijing, China",cached_github,ok,
balacoon,unknown,,unmatched,skipped,
baohuynhbk14,unknown,,unmatched,skipped,
baoyin2024,unknown,,unmatched,skipped,
bardsai,unknown,,unmatched,skipped,
bartowski,organization,"Toronto, Canada",manual,manual,
basel,unknown,,unmatched,skipped,
bastao,unknown,,unmatched,skipped,
bclavie,user,Tokyo,cached_github,ok,
bczhou,unknown,,unmatched,skipped,
bd2lcco,unknown,,unmatched,skipped,
bdsqlsz,unknown,,unmatched,skipped,
beethogedeon,unknown,,unmatched,skipped,
befox,unknown,,unmatched,skipped,
behavior-1k,unknown,,unmatched,skipped,
ben2002chou,unknown,,unmatched,skipped,
benjamin,unknown,,unmatched,skipped,
benjamin-paine,unknown,,unmatched,skipped,
beomi,user,"Seoul, South Korea",cached_github,ok,
beowolx,unknown,,unmatched,skipped,
berkeley-nest,organization,"San Francisco, CA, USA",manual,manual,
bespin-global,unknown,,unmatched,skipped,
bespokelabs,unknown,,unmatched,skipped,
bestoai,unknown,,unmatched,skipped,
bezirganyan,unknown,,unmatched,skipped,
bguisard,unknown,,unmatched,skipped,
bhadresh-savani,unknown,,unmatched,skipped,
bhavyagiri,unknown,,unmatched,skipped,
big-vision,unknown,,unmatched,skipped,
bigcode,organization,"Paris, France",manual,manual,
biglab,unknown,,unmatched,skipped,
biglam,unknown,,unmatched,skipped,
bigscience,organization,"Paris, France",manual,manual,
bigwiz83,unknown,,unmatched,skipped,
bijaykumarsingh,unknown,,unmatched,skipped,
biodatlab,unknown,,unmatched,skipped,
biomni,unknown,,unmatched,skipped,
bionlp,unknown,,unmatched,skipped,
bioptimus,unknown,,unmatched,skipped,
bishmoy,unknown,,unmatched,skipped,
bitext,unknown,,unmatched,skipped,
biu-nlp,unknown,,unmatched,skipped,
bkai-foundation-models,unknown,,unmatched,skipped,
black-forest-labs,organization,"Frankfurt, Germany",manual,manual,
blanchefort,unknown,,unmatched,skipped,
blaze999,unknown,,unmatched,skipped,
blink7630,unknown,,unmatched,skipped,
blizrys,unknown,,unmatched,skipped,
bmd1905,user,Ho Chi Minh City,cached_github,ok,
boboliu,unknown,,unmatched,skipped,
bofenghuang,user,"Paris, France",cached_github,ok,
boltuix,unknown,,unmatched,skipped,
bond005,unknown,,unmatched,skipped,
bookcorpus,unknown,,unmatched,skipped,
bosonai,unknown,,unmatched,skipped,
bouiboui,user,"Montpellier, France",cached_github,ok,
boun-tabi-LMG,unknown,,unmatched,skipped,
boun-tabilab,unknown,,unmatched,skipped,
bowen-upenn,user,"Philadelphia, PA",cached_github,ok,
bowphs,unknown,,unmatched,skipped,
brain-bzh,unknown,,unmatched,skipped,
braindecode,unknown,,unmatched,skipped,
breezedeus,unknown,,unmatched,skipped,
briaai,unknown,,unmatched,skipped,
brittlewis12,unknown,,unmatched,skipped,
browser-use,organization,United States of America,cached_github,ok,
brucethemoose,unknown,,unmatched,skipped,
bshada,unknown,,unmatched,skipped,
btbtyler09,unknown,,unmatched,skipped,
budsus,unknown,,unmatched,skipped,
buildborderless,unknown,,unmatched,skipped,
builddotai,unknown,,unmatched,skipped,
bullerwins,unknown,,unmatched,skipped,
burtenshaw,user,Brussels,cached_github,ok,
bvanaken,unknown,,unmatched,skipped,
byroneverson,unknown,,unmatched,skipped,
bytedance-research,unknown,,unmatched,skipped,
c3ax,unknown,,unmatched,skipped,
cadene,user,Paris,cached_github,ok,
cafeai,unknown,,unmatched,skipped,
cagliostrolab,unknown,,unmatched,skipped,
cahya,unknown,,unmatched,skipped,
caidas,unknown,,unmatched,skipped,
cais,unknown,,unmatched,skipped,
calcuis,unknown,,unmatched,skipped,
callanwu,unknown,,unmatched,skipped,
cambridgeltl,organization,"Cambridge, UK",manual,manual,
camel-ai,unknown,,unmatched,skipped,
camenduru,unknown,,unmatched,skipped,
canopylabs,unknown,,unmatched,skipped,
capleaf,unknown,,unmatched,skipped,
cardiffnlp,organization,United Kingdom,cached_github,ok,
case01,unknown,,unmatched,skipped,
casehold,unknown,,unmatched,skipped,
casperhansen,unknown,,unmatched,skipped,
castorini,organization,"Waterloo, Ontario, Canada",cached_github,ok,
cazzz307,unknown,,unmatched,skipped,
ccdv,unknown,,unmatched,skipped,
cckevinn,unknown,,unmatched,skipped,
ccmusic-database,unknown,,unmatched,skipped,
cea-list-ia,unknown,,unmatched,skipped,
celiudos,unknown,,unmatched,skipped,
cerebras,unknown,,unmatched,skipped,
cerspense,unknown,,unmatched,skipped,
ceval,unknown,,unmatched,skipped,
cfahlgren1,unknown,,unmatched,skipped,
cfilt,unknown,,unmatched,skipped,
cgxjdzz,unknown,,unmatched,skipped,
chainyo,unknown,,unmatched,skipped,
chandar-lab,unknown,,unmatched,skipped,
chansung,unknown,,unmatched,skipped,
chanwoocho,unknown,,unmatched,skipped,
chaoyi-wu,user,Shanghai,cached_github,ok,
charent,unknown,,unmatched,skipped,
chargoddard,unknown,,unmatched,skipped,
charsiu,unknown,,unmatched,skipped,
chatdb,unknown,,unmatched,skipped,
chatpig,unknown,,unmatched,skipped,
chbh7051,unknown,,unmatched,skipped,
chenhn02,unknown,,unmatched,skipped,
chenjoya,unknown,,unmatched,skipped,
chestnutlzj,unknown,,unmatched,skipped,
chflame163,unknown,,unmatched,skipped,
chriamue,unknown,,unmatched,skipped,
chuanli11,unknown,,unmatched,skipped,
chuhac,unknown,,unmatched,skipped,
chujiezheng,user,"Beijing, China",cached_github,ok,
chuxuan,unknown,,unmatched,skipped,
circulus,unknown,,unmatched,skipped,
cis-lmu,unknown,,unmatched,skipped,
cisco-ai,unknown,,unmatched,skipped,
citizenlab,unknown,,unmatched,skipped,
city96,unknown,,unmatched,skipped,
cjpais,unknown,,unmatched,skipped,
ckip-joint,unknown,,unmatched,skipped,
ckiplab,organization,"Taipei, Taiwan",manual,manual,
ckpt,organization,"Tokyo, Japan",manual,manual,
cl-nagoya,unknown,,unmatched,skipped,
clane9,unknown,,unmatched,skipped,
clapAI,unknown,,unmatched,skipped,
classla,unknown,,unmatched,skipped,
claudfuen,unknown,,unmatched,skipped,
clefourrier,user,France,cached_github,ok,
clibrain,unknown,,unmatched,skipped,
climatebert,unknown,,unmatched,skipped,
clinc,unknown,,unmatched,skipped,
clinteroni,unknown,,unmatched,skipped,
clip-benchmark,unknown,,unmatched,skipped,
clips,unknown,,unmatched,skipped,
clouditera,unknown,,unmatched,skipped,
cloudyu,unknown,,unmatched,skipped,
clue,unknown,,unmatched,skipped,
cmarkea,unknown,,unmatched,skipped,
cmeka,unknown,,unmatched,skipped,
cmp-nct,unknown,,unmatched,skipped,
cmu-gil,unknown,,unmatched,skipped,
cnicu,unknown,,unmatched,skipped,
cnmoro,unknown,,unmatched,skipped,
coastalcph,unknown,,unmatched,skipped,
cocktailpeanut,unknown,,unmatched,skipped,
code-search-net,unknown,,unmatched,skipped,
codefuse-ai,unknown,,unmatched,skipped,
codellama,unknown,,unmatched,skipped,
codeparrot,unknown,,unmatched,skipped,
coder119,unknown,,unmatched,skipped,
cognition-ai,unknown,,unmatched,skipped,
cointegrated,unknown,,unmatched,skipped,
colbert-ir,unknown,,unmatched,skipped,
collabora,organization,"Cambridge, UK; Montreal, QC",cached_github,ok,
comin,unknown,,unmatched,skipped,
common-canvas,unknown,,unmatched,skipped,
common-pile,unknown,,unmatched,skipped,
community-datasets,unknown,,unmatched,skipped,
comodoro,unknown,,unmatched,skipped,
concedo,unknown,,unmatched,skipped,
conservationxlabs,unknown,,unmatched,skipped,
contextboxai,unknown,,unmatched,skipped,
continuedev,organization,United States of America,cached_github,ok,
convergence-ai,unknown,,unmatched,skipped,
cooperleong00,unknown,,unmatched,skipped,
coqui,unknown,,unmatched,skipped,
coreco,unknown,,unmatched,skipped,
coreml-projects,unknown,,unmatched,skipped,
cornell-movie-review-data,unknown,,unmatched,skipped,
cosc,unknown,,unmatched,skipped,
covalenthq,unknown,,unmatched,skipped,
croissantllm,unknown,,unmatched,skipped,
cross-encoder,unknown,,unmatched,skipped,
cross-encoder-testing,unknown,,unmatched,skipped,
crusoeai,unknown,,unmatched,skipped,
cruxeval-org,unknown,,unmatched,skipped,
crynux-network,unknown,,unmatched,skipped,
crystina-z,user,"Waterloo, Ontario, Canada",cached_github,ok,
csarron,user,Seattle,cached_github,ok,
csebuetnlp,unknown,,unmatched,skipped,
cssupport,unknown,,unmatched,skipped,
csuhan,unknown,,unmatched,skipped,
ctheodoris,unknown,,unmatched,skipped,
curaihealth,unknown,,unmatched,skipped,
curt-park,unknown,,unmatched,skipped,
cyankiwi,unknown,,unmatched,skipped,
cyberagent,organization,"Tokyo, Japan",manual,manual,
cyberdelia,unknown,,unmatched,skipped,
cybermotaz,unknown,,unmatched,skipped,
cybersectony,unknown,,unmatched,skipped,
cycloneboy,unknown,,unmatched,skipped,
d0rj,unknown,,unmatched,skipped,
d4data,unknown,,unmatched,skipped,
daekeun-ml,user,"Seoul, South Korea",cached_github,ok,
dair-ai,organization,Planet Earth,cached_github,ok,
dalle-mini,unknown,,unmatched,skipped,
dallinmackay,unknown,,unmatched,skipped,
