entity_id,entity_type,raw_location,platform,cleaned_location,matched_city,country,lat,lon,confidence
endink,github_user,"Kunming, China",GitHub,"Kunming, China",Kunming,China,25.0399353,102.7169061,medium
Syliz517,github_user,,GitHub,,,,,,none
agencyenterprise,github_organization,"Los Angeles, CA",GitHub,"Los Angeles, CA",Los Angeles,United States,34.0522,-118.2437,high
ray-project,github_organization,,GitHub,,,,,,none
yaroslavyaroslav,github_user,Haifa,GitHub,Haifa,Haifa,Israel,32.794,34.9896,high
DeutscheKI,github_organization,,GitHub,,,,,,none
speakeasy-api,github_organization,United States of America,GitHub,United States of America,,,,,low
BlackHC,github_user,"Oxford, UK",GitHub,"Oxford, UK",Oxford,United Kingdom,51.752,-1.2577,high
redis,github_organization,,GitHub,,,,,,none
cedrickchee,github_user,PID 1,GitHub,PID 1,Lviv,Ukraine,49.8673638,24.0142205,medium
sanbuphy,github_user,Mars,GitHub,Mars,Mars,France,45.022172,4.3221548,medium
deepset-ai,github_organization,Germany,GitHub,Germany,,,,,low
tabularis-ai,github_organization,Germany,GitHub,Germany,,,,,low
archersama,github_user,China,GitHub,China,,,,,low
xplip,github_user,"Paris, France",GitHub,"Paris, France",Paris,France,48.8566,2.3522,high
Hzfinfdu,github_user,,GitHub,,,,,,none
alondmnt,github_user,,GitHub,,,,,,none
zahidkhawaja,github_user,"Atlanta, GA",GitHub,"Atlanta, GA",Atlanta,United States,33.749,-84.388,high
petals-infra,github_organization,,GitHub,,,,,,none
craffel,github_user,"Toronto, ON",GitHub,"Toronto, ON",Toronto,Canada,43.6532,-79.3832,high
TIGER-AI-Lab,github_organization,Canada,GitHub,Canada,,,,,low
jagilley,github_user,,GitHub,,,,,,none
nuprl,github_organization,Boston,GitHub,Boston,Boston,United States,42.3601,-71.0589,high
pinecone-io,github_organization,,GitHub,,,,,,none
XiaoxinHe,github_user,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
thammegowda,github_user,"Redmond, WA",GitHub,"Redmond, WA",Redmond,United States,47.674,-122.1215,high
Sentdex,github_user,Texas,GitHub,Texas,Texas,United States,31.2638905,-98.5456116,medium
bhattbhavesh91,github_user,India,GitHub,India,,,,,low
henrycunh,github_user,rio,GitHub,rio,Rio de Janeiro,Brazil,-22.9110137,-43.2093727,medium
iceburgcrm,github_user,"Toronto, Canada",GitHub,"Toronto, Canada",Toronto,Canada,43.6532,-79.3832,high
NVIDIA,github_organization,"2788 San Tomas Expressway, Santa Clara, CA, 95051",GitHub,"2788 San Tomas Expressway, Santa Clara, CA, 95051",Santa Clara,United States,37.3705438,-121.9670806,medium
cohere-ai,github_organization,Canada,GitHub,Canada,,,,,low
LostRuins,github_user,,GitHub,,,,,,none
kyaiooiayk,github_user,UK,GitHub,UK,,,,,low
argonne-lcf,github_organization,"Chicago, IL",GitHub,"Chicago, IL",Chicago,United States,41.8781,-87.6298,high
ukairia777,github_user,Seoul,GitHub,Seoul,Seoul,South Korea,37.5665,126.978,high
PacktPublishing,github_organization,"Birmingham, UK",GitHub,"Birmingham, UK",Birmingham,United Kingdom,52.4796992,-1.9026911,medium
